fips,year,county,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,jud_district,medianHI,medianHI_MOE,povertyR
8069,2014,"Larimer",103,2059,3712,5771,"Misdemeanor",1350,1091,259,2986,2705,281,4336,8,57659,2943,12.8
8069,2014,"Larimer",295,1309,472,1781,"Felony",765,609,156,439,388,51,1204,8,57659,2943,12.8
8069,2015,"Larimer",104,2278,3780,6058,"Misdemeanor",1459,1181,278,2908,2581,327,4367,8,64935,2643,12.2
8069,2015,"Larimer",296,1647,508,2155,"Felony",941,735,206,465,410,55,1406,8,64935,2643,12.2
8069,2016,"Larimer",105,2306,3737,6043,"Misdemeanor",1395,1133,262,2827,2542,285,4222,8,66561,2623,11.2
8069,2016,"Larimer",297,2130,645,2775,"Felony",1161,905,256,586,522,64,1747,8,66561,2623,11.2
8071,2014,"Las Animas",106,706,123,829,"Misdemeanor",465,385,80,132,86,46,597,3,39625,3652,17.4
8071,2014,"Las Animas",298,105,62,167,"Felony",72,55,17,62,48,14,134,3,39625,3652,17.4
8071,2015,"Las Animas",107,698,86,784,"Misdemeanor",399,337,62,94,70,24,493,3,38858,2839,19.3
8071,2015,"Las Animas",299,137,62,199,"Felony",77,60,17,65,46,19,142,3,38858,2839,19.3
8071,2016,"Las Animas",108,781,65,846,"Misdemeanor",400,335,65,65,47,18,465,3,38224,3638,21.6
8071,2016,"Las Animas",300,112,43,155,"Felony",70,52,18,44,30,14,114,3,38224,3638,21.6
8073,2014,"Lincoln",109,238,8,246,"Misdemeanor",100,89,11,6,6,NA,106,18,41248,4324,18.3
8073,2014,"Lincoln",301,63,3,66,"Felony",22,19,3,4,4,NA,26,18,41248,4324,18.3
8073,2015,"Lincoln",110,354,5,359,"Misdemeanor",99,86,13,8,6,2,107,18,43188,4272,19.4
8073,2015,"Lincoln",302,80,NA,80,"Felony",25,24,1,NA,NA,NA,25,18,43188,4272,19.4
8073,2016,"Lincoln",111,389,8,397,"Misdemeanor",106,97,9,11,10,1,117,18,42969,4271,18.1
8073,2016,"Lincoln",303,84,3,87,"Felony",44,34,10,2,1,1,46,18,42969,4271,18.1
8075,2014,"Logan",112,326,160,486,"Misdemeanor",204,169,35,155,124,31,359,13,45439,4632,17.7
8075,2014,"Logan",304,153,73,226,"Felony",85,64,21,68,54,14,153,13,45439,4632,17.7
8075,2015,"Logan",113,243,211,454,"Misdemeanor",168,134,34,203,163,40,371,13,46306,4123,15.5
8075,2015,"Logan",305,169,65,234,"Felony",104,79,25,67,54,13,171,13,46306,4123,15.5
8075,2016,"Logan",114,249,186,435,"Misdemeanor",166,135,31,172,141,31,338,13,49407,5217,16.4
8075,2016,"Logan",306,194,82,276,"Felony",95,77,18,72,64,8,167,13,49407,5217,16.4
8077,2014,"Mesa",115,1508,1312,2820,"Misdemeanor",604,466,138,1309,1088,221,1913,21,50106,3385,15.4
8077,2014,"Mesa",307,785,721,1506,"Felony",363,277,86,721,585,136,1084,21,50106,3385,15.4
8077,2015,"Mesa",116,1686,1317,3003,"Misdemeanor",591,483,108,1314,1053,261,1905,21,51449,2441,14.1
8077,2015,"Mesa",308,755,817,1572,"Felony",288,230,58,824,671,153,1112,21,51449,2441,14.1
8077,2016,"Mesa",117,1589,1402,2991,"Misdemeanor",451,376,75,1399,1119,280,1850,21,49825,3592,15.0
