"Population Estimates by Region and County, 2000 - 2017, Vintage 2017, State Demography Office",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,       SDO Est.,
     Alamosa ,"15,097","15,231","15,266","15,360","15,406","15,395","15,350","15,293","15,346","15,301","15,474","15,656","15,633","15,740","15,758","15,854","16,006","16,056",
     Conejos ,"8,407","8,365","8,389","8,387","8,501","8,500","8,470","8,433","8,384","8,210","8,282","8,248","8,210","8,167","8,196","8,034","8,018","8,117",
     Costilla ,"3,673","3,741","3,734","3,800","3,802","3,695","3,698","3,676","3,611","3,505","3,532","3,641","3,600","3,540","3,563","3,577","3,700","3,771",
     Mineral ,836,820,805,830,842,806,789,803,767,714,705,712,720,733,703,745,756,752,
     Rio Grande ,"12,429","12,406","12,409","12,619","12,824","12,696","12,439","12,167","12,105","11,995","12,001","11,887","11,838","11,653","11,482","11,320","11,313","11,251",
     Saguache ,"5,982","6,083","6,245","6,279","6,240","6,284","6,241","6,159","6,176","6,126","6,144","6,185","6,335","6,245","6,199","6,252","6,412","6,631",
,,,,,,,,,,,,,,,,,,,
  EASTERN PLAINS,"158,213","160,553","161,318","162,044","161,194","160,352","160,074","158,612","158,537","159,551","159,757","159,303","157,629","157,321","157,709","158,340","157,603","158,554",
   REGION 1,"69,856","71,740","72,153","72,651","72,224","72,048","72,167","71,965","71,638","72,186","72,168","72,153","71,678","71,510","71,732","71,776","71,707","71,553",
     Logan ,"20,656","22,354","22,095","22,371","22,181","22,088","22,267","22,403","22,324","22,517","22,293","22,228","22,011","21,824","22,104","22,122","22,043","21,893",
     Morgan ,"27,250","27,475","27,662","27,855","27,912","27,947","27,983","27,848","27,746","28,026","28,196","28,359","28,157","28,129","28,007","28,108","28,015","28,075",
     Phillips ,"4,451","4,487","4,496","4,477","4,580","4,548","4,504","4,484","4,451","4,454","4,465","4,368","4,386","4,356","4,375","4,310","4,274","4,275",
     Sedgwick ,"2,742","2,694","2,694","2,715","2,606","2,578","2,515","2,422","2,420","2,376","2,367","2,366","2,373","2,335","2,327","2,371","2,399","2,314",
     Washington ,"4,942","4,899","5,259","5,140","5,060","4,995","4,981","4,927","4,802","4,777","4,815","4,754","4,693","4,735","4,724","4,779","4,831","4,921",
     Yuma ,"9,815","9,831","9,947","10,093","9,885","9,892","9,917","9,881","9,895","10,036","10,032","10,078","10,058","10,131","10,195","10,086","10,145","10,075",
,,,,,,,,,,,,,,,,,,,
   REGION 5,"36,455","37,616","38,102","38,289","38,275","38,085","38,115","37,794","38,125","38,455","38,682","38,518","38,594","39,014","39,311","40,078","40,019","40,109",
     Cheyenne ,"2,214","2,173","2,162","2,119","2,070","2,041","1,977","1,910","1,898","1,833","1,834","1,855","1,864","1,871","1,836","1,815","1,835","1,835",
     Elbert ,"20,102","21,294","21,604","21,933","22,041","22,259","22,527","22,478","22,663","22,890","23,107","23,131","23,236","23,493","23,965","24,522","25,004","25,594",
     Kit Carson ,"7,975","8,073","8,289","8,185","8,257","7,998","7,946","7,835","8,042","8,269","8,267","8,148","8,054","8,227","7,998","8,193","7,629","7,154",
     Lincoln ,"6,164","6,076","6,047","6,052","5,907","5,787","5,665","5,571","5,522","5,463","5,474","5,384","5,440","5,423","5,512","5,548","5,551","5,526",
,,,,,,,,,,,,,,,,,,,
   REGION 6,"51,902","51,197","51,063","51,104","50,695","50,219","49,792","48,853","48,774","48,910","48,907","48,632","47,357","46,797","46,666","46,486","45,877","46,892",
     Baca ,"4,500","4,447","4,315","4,258","4,166","4,098","4,088","3,993","3,906","3,814","3,795","3,769","3,710","3,645","3,576","3,544","3,522","3,539",
     Bent ,"5,966","5,882","6,203","6,653","6,357","6,261","6,076","5,773","6,008","6,481","6,506","6,323","5,814","5,732","5,777","5,885","5,664","5,866",
     Crowley ,"5,128","5,253","5,344","5,156","5,432","5,437","5,713","5,907","5,893","5,803","5,838","5,826","5,405","5,288","5,559","5,567","5,203","5,749",
     Kiowa ,"1,612","1,606","1,566","1,548","1,523","1,543","1,514","1,471","1,432","1,392","1,399","1,427","1,405","1,388","1,377","1,382","1,343","1,364",
     Otero ,"20,244","19,900","19,624","19,667","19,561","19,370","19,193","18,937","18,853","18,844","18,838","18,814","18,622","18,447","18,335","18,187","18,206","18,370",
     Prowers ,"14,452","14,109","14,011","13,822","13,656","13,510","13,208","12,772","12,682","12,576","12,531","12,473","12,401","12,297","12,042","11,921","11,939","12,004",
,,,,,,,,,,,,,,,,,,,
 OTHER,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  DNVR-AURORA MSA  -  USCB,"2,193,965","2,243,659","2,271,767","2,297,992","2,327,058","2,351,871","2,392,951","2,434,392","2,478,311","2,521,840","2,556,278","2,601,403","2,647,835","2,698,037","2,751,570","2,809,029","2,853,972","2,890,391",
     Denver PMSA,"2,144,968","2,192,900","2,220,450","2,245,902","2,274,818","2,299,267","2,340,064","2,381,281","2,424,992","2,468,523","2,502,291","2,547,773","2,594,099","2,643,834","2,696,388","2,752,732","2,796,333","2,831,280",
     Clr Crk & Gilpin,"14,167","14,293","14,296","14,368","14,286","14,284","14,232","14,297","14,378","14,456","14,618","14,466","14,478","14,551","14,864","15,071","15,296","15,625",
     Elbert & Park,"34,830","36,466","37,021","37,722","37,954","38,320","38,655","38,814","38,941","38,861","39,369","39,164","39,258","39,652","40,318","41,226","42,343","43,486",
,,,,,,,,,,,,,,,,,,,
   REGION 3 - DRCOG,"2,435,389","2,490,703","2,519,179","2,543,033","2,572,392","2,596,461","2,640,429","2,684,335","2,731,197","2,776,620","2,812,514","2,862,349","2,913,611","2,968,013","3,023,840","3,085,874","3,132,992","3,169,759",
     Denver-Bldr Region,"2,421,222","2,476,410","2,504,883","2,528,665","2,558,106","2,582,177","2,626,197","2,670,038","2,716,819","2,762,164","2,797,896","2,847,883","2,899,133","2,953,462","3,008,976","3,070,803","3,117,696","3,154,134",
     Clr Crk & Gilpin,"14,167","14,293","14,296","14,368","14,286","14,284","14,232","14,297","14,378","14,456","14,618","14,466","14,478","14,551","14,864","15,071","15,296","15,625",
,,,,,,,,,,,,,,,,,,,
   REGION 4,"555,598","573,246","582,646","589,675","596,586","607,888","621,421","628,272","638,440","647,694",666935,677642,686369,695768,703202,715048,730433,743800,
     Colo Sprgs MSA ,"540,870","558,074","567,229","573,886","580,673","591,827","605,293","611,936","622,162","631,723","650,673","661,609","670,347","679,609","686,849","698,344","713,094","725,908",
     Park,"14,728","15,172","15,417","15,789","15,913","16,061","16,128","16,336","16,278","15,971","16,262","16,033","16,022","16,159","16,353","16,704","17,339","17,892",
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
